"id","url","name","seasonId","number","airstamp","runtime","image_medium","image_original","summary"
"684","http://www.tvmaze.com/episodes/40684/friends-2x15-the-one-where-ross-and-rachel-you-know","The One Where Ross and Rachel... You Know","2","15","1996-02-08T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59277.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59277.jpg","Ross's work hinders the evolution of his and Rachel's romance; Monica 
has eyes for an older opthalmologist; Joey and Chandler 
enjoy a big-screen TV."
"685","http://www.tvmaze.com/episodes/40685/friends-2x16-the-one-where-joey-moves-out","The One Where Joey Moves Out","2","16","1996-02-15T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/45/114496.jpg","http://static.tvmaze.com/uploads/images/original_untouched/45/114496.jpg","Richard's relationship with a younger woman causes a stir at a party for
 Ross and Monica's dad; Joey decides to move out; Rachel gets a tattoo."
"686","http://www.tvmaze.com/episodes/40686/friends-2x17-the-one-where-eddie-moves-in","The One Where Eddie Moves In","2","17","1996-02-22T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59278.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59278.jpg","Chandler gets a new roommate; Monica doesn't like having Ross around all the time; Phoebe makes a music video."
"687","http://www.tvmaze.com/episodes/40687/friends-2x18-the-one-where-dr-ramoray-dies","The One Where Dr. Ramoray Dies","2","18","1996-03-21T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59280.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59280.jpg","The days in the life of Joey's character, Dr. Ramoray, are numbered; Chandler's new roommate scares him."
"688","http://www.tvmaze.com/episodes/40688/friends-2x19-the-one-where-eddie-wont-go","The One Where Eddie Won't Go","2","19","1996-03-28T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/45/114497.jpg","http://static.tvmaze.com/uploads/images/original_untouched/45/114497.jpg","Chandler wants Eddie to move out; Joey faces unemployment; a self-help book empowers the ladies."
"689","http://www.tvmaze.com/episodes/40689/friends-2x20-the-one-where-old-yeller-dies","The One Where Old Yeller Dies","2","20","1996-04-04T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/45/114499.jpg","http://static.tvmaze.com/uploads/images/original_untouched/45/114499.jpg","Rachel freaks when Ross talks about spending a lifetime together; 
Chandler and Joey befriend Richard; Phoebe is shocked by the ending of 
""Old Yeller."""
"690","http://www.tvmaze.com/episodes/40690/friends-2x21-the-one-with-the-bullies","The One With the Bullies","2","21","1996-04-25T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59281.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59281.jpg","Bullies accost Ross and Chandler; Monica plays the stock market; and Phoebe attempts to meet her father again."
"691","http://www.tvmaze.com/episodes/40691/friends-2x22-the-one-with-the-two-parties","The One With the Two Parties","2","22","1996-05-02T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59282.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59282.jpg","When Rachel's divorcing parents both show up for her birthday, her friends hold two separate parties to keep them apart."
"692","http://www.tvmaze.com/episodes/40692/friends-2x23-the-one-with-the-chicken-pox","The One With the Chicken Pox","2","23","1996-05-09T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59283.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59283.jpg","A submariner surfaces to spend two weeks with Phoebe, 
who's come down with chicken pox; Joey plays the role of a data 
processor at Chandler's company."
"693","http://www.tvmaze.com/episodes/40693/friends-2x24-the-one-with-barry-and-mindys-wedding","The One With Barry and Mindy's Wedding","2","24","1996-05-16T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/45/114545.jpg","http://static.tvmaze.com/uploads/images/original_untouched/45/114545.jpg","Rachel's in her ex-fiancé's wedding; Chandler has a cyberspace romance; Monica and Richard think about their future."
